Found solution to sastp20 (time: 85.0798, satisfaction: 59.9202, stamina: 0, length: 10, runtime: 0.012012, last improvement: 0.006734)
Found solution to sastp20 (time: 95.5433, satisfaction: 60.4567, stamina: 0, length: 11, runtime: 0.011095, last improvement: 0.005937)
Found solution to sastp20 (time: 98.8952, satisfaction: 69.1048, stamina: 0, length: 11, runtime: 0.011046, last improvement: 0.00581)
Found solution to sastp20 (time: 98.429, satisfaction: 57.571, stamina: 0, length: 10, runtime: 0.013807, last improvement: 0.008754)
Found solution to sastp20 (time: 96.1438, satisfaction: 57.8562, stamina: 0, length: 9, runtime: 0.01374, last improvement: 0.008947)
Found solution to sastp20 (time: 98.8994, satisfaction: 54.1006, stamina: 0, length: 10, runtime: 0.013214, last improvement: 0.008351)
Found solution to sastp20 (time: 99.7443, satisfaction: 63.2557, stamina: 0, length: 12, runtime: 0.016004, last improvement: 0.010748)
Found solution to sastp20 (time: 99.641, satisfaction: 61.359, stamina: 0, length: 11, runtime: 0.012627, last improvement: 0.007459)
Found solution to sastp20 (time: 98.1427, satisfaction: 58.8573, stamina: 0, length: 10, runtime: 0.011897, last improvement: 0.007045)
Found solution to sastp20 (time: 99.2684, satisfaction: 52.7316, stamina: 0, length: 12, runtime: 0.011464, last improvement: 0.006125)
Found solution to sastp20 (time: 97.5834, satisfaction: 55.4166, stamina: 0, length: 10, runtime: 0.01092, last improvement: 0.005914)
Found solution to sastp20 (time: 94.6887, satisfaction: 61.3113, stamina: 0, length: 11, runtime: 0.011932, last improvement: 0.006721)
Found solution to sastp20 (time: 97.6908, satisfaction: 61.3092, stamina: 0, length: 11, runtime: 0.011049, last improvement: 0.005923)
Found solution to sastp20 (time: 95.7881, satisfaction: 56.2119, stamina: 0, length: 10, runtime: 0.015319, last improvement: 0.010385)
Found solution to sastp200 (time: 999.133, satisfaction: 781.867, stamina: 0, length: 96, runtime: 0.180662, last improvement: 0.114509)
Found solution to sastp200 (time: 999.84, satisfaction: 791.16, stamina: 0, length: 98, runtime: 0.296345, last improvement: 0.225559)
Found solution to sastp200 (time: 997.479, satisfaction: 789.521, stamina: 0, length: 97, runtime: 0.260244, last improvement: 0.192076)
Found solution to sastp200 (time: 996.465, satisfaction: 791.535, stamina: 0, length: 99, runtime: 0.265483, last improvement: 0.198178)
Found solution to sastp200 (time: 997.038, satisfaction: 803.962, stamina: 0, length: 102, runtime: 0.287251, last improvement: 0.21571)
Found solution to sastp200 (time: 994.779, satisfaction: 756.221, stamina: 0, length: 93, runtime: 0.225834, last improvement: 0.160704)
Found solution to sastp200 (time: 999.374, satisfaction: 777.626, stamina: 0, length: 95, runtime: 0.245818, last improvement: 0.175304)
Found solution to sastp200 (time: 999.606, satisfaction: 788.394, stamina: 0, length: 99, runtime: 0.262875, last improvement: 0.194352)
Found solution to sastp200 (time: 999.188, satisfaction: 798.812, stamina: 0, length: 100, runtime: 0.237247, last improvement: 0.168859)
Found solution to sastp200 (time: 994.628, satisfaction: 786.372, stamina: 0, length: 98, runtime: 0.279378, last improvement: 0.210196)
Found solution to sastp200 (time: 997.829, satisfaction: 763.171, stamina: 0, length: 95, runtime: 0.27974, last improvement: 0.213463)
Found solution to sastp200 (time: 996.202, satisfaction: 774.798, stamina: 0, length: 98, runtime: 0.291346, last improvement: 0.221872)
Found solution to sastp200 (time: 998.821, satisfaction: 796.179, stamina: 0, length: 101, runtime: 0.333432, last improvement: 0.263691)
Found solution to sastp200 (time: 996.784, satisfaction: 793.216, stamina: 0, length: 97, runtime: 0.257669, last improvement: 0.190266)
Found solution to sastp200 (time: 997.082, satisfaction: 790.918, stamina: 0, length: 99, runtime: 0.324993, last improvement: 0.256055)
Found solution to sastp200 (time: 999.676, satisfaction: 785.324, stamina: 0, length: 100, runtime: 0.338372, last improvement: 0.26795)
Found solution to sastp200 (time: 997.479, satisfaction: 793.521, stamina: 0, length: 97, runtime: 0.279052, last improvement: 0.208929)
Found solution to sastp200 (time: 999.559, satisfaction: 781.441, stamina: 0, length: 98, runtime: 0.322507, last improvement: 0.253372)
Found solution to sastp200 (time: 998.967, satisfaction: 777.033, stamina: 0, length: 98, runtime: 0.242115, last improvement: 0.173404)
Found solution to sastp200 (time: 999.397, satisfaction: 806.603, stamina: 0, length: 107, runtime: 0.253287, last improvement: 0.180612)
Found solution to sastp200 (time: 998.29, satisfaction: 776.71, stamina: 0, length: 96, runtime: 0.255238, last improvement: 0.17696)
Found solution to sastp200 (time: 997.286, satisfaction: 745.714, stamina: 0, length: 95, runtime: 0.109045, last improvement: 0.047496)
Found solution to sastp200 (time: 998.746, satisfaction: 788.254, stamina: 0, length: 98, runtime: 0.27693, last improvement: 0.208208)
Found solution to sastp200 (time: 995.841, satisfaction: 793.159, stamina: 0, length: 100, runtime: 0.307453, last improvement: 0.234204)
Found solution to sastp200 (time: 999.778, satisfaction: 771.222, stamina: 0, length: 96, runtime: 0.254414, last improvement: 0.18777)
Found solution to sastp200 (time: 990.645, satisfaction: 787.355, stamina: 0, length: 98, runtime: 0.261709, last improvement: 0.194126)
Found solution to sastp200 (time: 992.283, satisfaction: 787.717, stamina: 0, length: 97, runtime: 0.278013, last improvement: 0.208946)
Found solution to sastp200 (time: 998.512, satisfaction: 792.488, stamina: 0, length: 99, runtime: 0.252667, last improvement: 0.169181)
Found solution to sastp200 (time: 999.445, satisfaction: 762.555, stamina: 0, length: 96, runtime: 0.225721, last improvement: 0.158646)
Found solution to sastp200 (time: 998.676, satisfaction: 757.324, stamina: 0, length: 96, runtime: 0.130445, last improvement: 0.066137)
Found solution to sastp50 (time: 248.75, satisfaction: 175.25, stamina: 0, length: 23, runtime: 0.032035, last improvement: 0.016799)
Found solution to sastp50 (time: 248.376, satisfaction: 186.624, stamina: 0, length: 25, runtime: 0.039671, last improvement: 0.023214)
Found solution to sastp50 (time: 248.199, satisfaction: 170.801, stamina: 0, length: 23, runtime: 0.042602, last improvement: 0.027247)
